192.241.215.151 - - [17/Oct/2022:00:10:20 +0300] "-" 400 1985
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api HTTP/1.1" 200 6798
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/bitstreams/834cc5a9-0efe-4285-b801-8f2d13c951b3/content HTTP/1.1" 304 -
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/bitstreams/e9453670-fabb-4d26-ae67-fbce33bf6f72/content HTTP/1.1" 304 -
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authn/status HTTP/1.1" 200 488
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/eperson/epersons/b1c58375-c80d-475c-b795-0f80fb69d023 HTTP/1.1" 200 1423
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/system/scripts/metadata-import HTTP/1.1" 200 1547
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/system/scripts/metadata-export HTTP/1.1" 200 810
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/sites HTTP/1.1" 200 682
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/discover/browses?size=9999 HTTP/1.1" 200 3615
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 1921
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 1930
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 2021
52.209.192.143 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 1936
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/authn/status HTTP/1.1" 200 488
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "OPTIONS /server/api/config/properties/google.analytics.key HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/config/properties/google.analytics.key HTTP/1.1" 404 187
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "OPTIONS /server/api/config/properties/registration.verification.enabled HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "OPTIONS /server/api HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:56:34 +0300] "GET /server/api/config/properties/registration.verification.enabled HTTP/1.1" 200 257
105.71.146.179 - - [17/Oct/2022:14:56:34 +0300] "GET /server/api HTTP/1.1" 200 6798
105.71.146.179 - - [17/Oct/2022:14:56:34 +0300] "GET /server/api HTTP/1.1" 200 6798
